118,Montenegro,4277,914,82,3281,42.708678,19.37439,1598120864000
59,Eswatini,4128,1365,81,2682,-26.5225,31.4659,1598120864000
40,Congo (Brazzaville),3850,2148,77,1625,-0.228,15.8277,1598120864000
45,Cuba,3617,522,89,3006,21.521757,-77.781167,1598120864000
162,Suriname,3460,906,56,2498,3.9193,-56.0278,1598120864000
30,Cabo Verde,3412,877,37,2498,16.5388,-23.0418,1598120864000
169,Thailand,3390,112,58,3220,15.870032,100.992541,1598120864000
154,Slovakia,3316,1136,33,2147,48.669,19.699,1598120864000
120,Mozambique,3304,1810,20,1474,-18.665695,35.529562,1598120864000
156,Somalia,3265,776,93,2396,5.152149,46.199616,1598120864000
160,Sri Lanka,2947,138,11,2798,7.873054,80.771797,1598120864000
142,Rwanda,2780,1057,11,1712,-1.9403,29.8739,1598120864000
110,Mali,2688,556,125,2007,17.570692,-3.996166,1598120864000
155,Slovenia,2617,407,131,2079,46.1512,14.9955,1598120864000
173,Tunisia,2607,1123,64,1420,33.886917,9.537499,1598120864000
103,Lithuania,2594,744,84,1766,55.1694,23.8813,1598120864000
158,South Sudan,2497,1160,47,1290,6.877,31.307,1598120864000
65,Gambia,2437,1898,84,455,13.4432,-15.3101,1598120864000
58,Estonia,2265,178,63,2024,58.5953,25.0136,1598120864000
176,Uganda,2166,947,20,1199,1.373333,32.290275,1598120864000
73,Guinea-Bissau,2149,1101,33,1015,11.8037,-15.1804,1598120864000
19,Benin,2095,351,39,1705,9.3077,2.3158,1598120864000
165,Syria,2073,1515,83,475,34.802075,38.996815,1598120864000
5,Angola,2068,1170,94,804,-11.2027,17.8739,1598120864000
79,Iceland,2058,112,10,1936,64.9631,-19.0208,1598120864000
152,Sierra Leone,1972,361,69,1542,8.460555,-11.779889,1598120864000
186,Yemen,1907,295,546,1066,15.552727,48.516388,1598120864000
12,Bahamas,1703,1455,27,221,25.025885,-78.035889,1598120864000
124,New Zealand,1671,111,22,1538,-40.9006,174.886,1598120864000
111,Malta,1577,666,10,901,35.9375,14.3754,1598120864000
89,Jordan,1576,297,11,1268,31.24,36.51,1598120864000
180,Uruguay,1516,225,42,1249,-32.5228,-55.7658,1598120864000
46,Cyprus,1406,508,20,878,35.1264,33.4299,1598120864000
66,Georgia,1394,245,17,1132,42.3154,43.3569,1598120864000
87,Jamaica,1346,542,16,788,18.1096,-77.2975,1598120864000
97,Latvia,1333,207,33,1093,56.8796,24.6032,1598120864000
23,Botswana,1308,1169,3,136,-22.3285,24.6849,1598120864000
27,Burkina Faso,1297,208,55,1034,12.2383,-1.5616,1598120864000
100,Liberia,1286,388,82,816,6.428055,-9.429499,1598120864000
171,Togo,1239,321,27,891,8.6195,0.8248,1598120864000
126,Niger,1172,20,69,1083,17.607789,8.081666,1598120864000
4,Andorra,1045,117,53,875,42.5063,1.5218,1598120864000
99,Lesotho,1015,513,30,472,-29.61,28.2336,1598120864000
183,Vietnam,1014,425,26,563,14.058324,108.277199,1598120864000
35,Chad,981,36,76,869,15.4542,18.7322,1598120864000
172,Trinidad and Tobago,899,721,13,165,10.6918,-61.2225,1598120864000
147,Sao Tome and Principe,891,46,15,830,0.1864,6.6131,1598120864000
74,Guyana,881,418,30,433,4.860416,-58.93018,1598120864000
49,Diamond Princess,712,48,13,651,,,1598120864000
146,San Marino,704,5,42,657,43.9424,12.4578,1598120864000
18,Belize,648,600,5,43,17.1899,-88.4976,1598120864000
168,Tanzania,509,305,21,183,-6.369028,34.888822,1598120864000
166,Taiwan*,487,23,7,457,23.7,121.0,1598120864000
28,Burma,441,97,6,338,21.9162,95.956,1598120864000
29,Burundi,429,92,1,336,-3.3731,29.9189,1598120864000
39,Comoros,417,14,7,396,-11.6455,43.3333,1598120864000
133,Papua New Guinea,361,159,4,198,-6.314993,143.95555,1598120864000
113,Mauritius,346,2,10,334,-20.348404,57.552152,1598120864000
57,Eritrea,306,32,0,274,15.1794,39.7823,1598120864000
117,Mongolia,298,10,0,288,46.8625,103.8467,1598120864000
31,Cambodia,273,10,0,263,11.55,104.9167,1598120864000
15,Barbados,157,26,7,124,13.1939,-59.5432,1598120864000
20,Bhutan,154,44,0,110,27.5142,90.4336,1598120864000
116,Monaco,154,34,4,116,43.7333,7.4167,1598120864000
25,Brunei,143,1,3,139,4.5353,114.7277,1598120864000
151,Seychelles,132,6,0,126,-4.6796,55.492,1598120864000
102,Liechtenstein,99,10,1,88,47.14,9.55,1598120864000
6,Antigua and Barbuda,94,2,3,89,17.0608,-61.7964,1598120864000
145,Saint Vincent and the Grenadines,58,2,0,56,12.9843,-61.2872,1598120864000
61,Fiji,28,7,1,20,-17.7134,178.065,1598120864000
144,Saint Lucia,26,1,0,25,13.9094,-60.9789,1598120864000
170,Timor-Leste,26,1,0,25,-8.874217,125.727539,1598120864000
70,Grenada,24,0,0,24,12.1165,-61.679,1598120864000
96,Laos,22,2,0,20,19.85627,102.495496,1598120864000
51,Dominica,19,1,0,18,15.415,-61.371,1598120864000
143,Saint Kitts and Nevis,17,0,0,17,17.357822,-62.782998,1598120864000
76,Holy See,12,0,0,12,41.9029,12.4534,1598120864000
185,Western Sahara,10,1,1,8,24.2155,-12.8858,1598120864000
105,MS Zaandam,9,7,2,,,,1598120864000
